komentar,rating,tanggal,pengguna
good,5,2025-05-10 15:03:02,14_Jhona iki
aplikasi sangat membantu buat para pemula,5,2025-05-10 15:02:16,M Dwi Prasetya
cs nya lelet bg bales chat ajaa lamaaaaa,1,2025-05-10 13:29:44,Rahman Tatang
"halo indodax, saya ada permintaan, tambahkan e wallet untuk penarikan uang, karena saya blm mempunyai kartu bank.",5,2025-05-10 12:30:10,KHAREL GAMING
nice,5,2025-05-10 11:03:04,Wakatobi
mantappp,5,2025-05-10 11:01:21,nr hosol (Ms soul)
tambahin fitur earn buat btc min kayak di aplikasi pintu sama peluang,5,2025-05-10 10:56:11,Fey Kun
"saran aja buat kalian mending pake exchange yang lain, karena potongan indodax gede banget",3,2025-05-10 09:43:40,Rahmat Septianto
Aman,5,2025-05-10 08:25:12,Sukses Skyrocketed
Error kode otp padahal nomor masih aktif di hubungin pun kode otp tidak keluar mohon di tindak cepat meresahkan bagi pengguna,1,2025-05-10 06:36:03,Fani Hon
"Gak ribet! INDODAX 3.0 di HP Android bikin trading dan investasi kripto ku jadi mudah. Swipe kiri kanan buat beli/jual aset, Notif real-time kayak update medsos, Keamanan ketat kayak brankas digital, Depo/withdraw mudah dan banyak pilihan. Bisa cuan kripto sambil rebahan! 🚀💸 username INDODAX: Anto1968 #AsetMasaDepan",5,2025-05-10 06:19:20,Suriyanto Anto
bagus,5,2025-05-10 04:58:18,Tosin Ocing
lumayan bagus tolong tambahkan fitur stop loss dan take profit dong terimakasih,4,2025-05-10 03:42:22,immanuel tarigan
Terima kasih. Masalahnya sudah selesai👍 Tangapannya cepat,5,2025-05-10 03:23:35,Ahmad Sidiq
harga coin tidak valid,1,2025-05-10 00:45:19,Boss Supra
sangat baik,5,2025-05-09 23:52:40,Billy Ardiansyah
aplikasi error padahal sudah benar memasukan nomer relasi kerabat tapi selalu gagal muncul tulisan format selalu salah,3,2025-05-09 22:57:56,Aji Mulya Official
btg nya ilang!!!! duit gua ikut ilang!!! aplikasi gak jelas!!!!,1,2025-05-09 22:14:44,Irwan Sayogaa
"Awal Mula Ga bisa Kebuka, Jadi Uninstall dan dowload lagi, Buka dengan Email yg sama Cuma reset Pasword. pas masuk kenapa hilang semua data nya. kembali Ke 0 Rupiah. ini gimana maksudnya.? Tolong Bantuan nya. maaf saya kasih 1 dulu.",1,2025-05-09 21:13:47,Akbar Army
"aplikasi error. tau"" akun tidak bisa dibuka. setelah ganti pasword malah akun terkunci dan diverivikasi malah ada mark ""perangkat tidak mendukung. hubungi customer service"". sedangkan saya sedang trade di apk ini mengejar time market. alhasil rugi karena di suruh nunggu 1x24 jam. sangat merugikan bro hati"" pake apk ini",1,2025-05-09 20:43:13,adi gumelar
🙏🤲,5,2025-05-09 20:13:09,Adi Purnawan
Depo lewat VA accunt...transfer tak ada...itu pun tak masuk masuk,1,2025-05-09 20:07:50,SaRumbo
Mantap banyak coin pump nya.,5,2025-05-09 19:59:48,Budi Susanto
ok,5,2025-05-09 19:37:44,TegaLega channel
"saya tidak bisa login ,",1,2025-05-09 19:35:35,Buaya darat
"verifikasi identitas gagal, alasan foto gak jelas ? padahal hasil foto jelas di hape gw, NIK dll...parah...gw chat ke CSnya lama dibales...njir padahal gw mo depo usdt buat diswap btc, sekarang btc udeh melambung.....bintang 1 udeh layak",1,2025-05-09 19:29:51,Captain Mc
"kenapa saya menjual aset saya di crypto, lewat market order. uang nya belum masuk ya",5,2025-05-09 19:27:19,Tedi wijaya
kenapa ya indodax gk bsa deposit menggunakan BRI,3,2025-05-09 19:25:44,Kusmawan Mawan2019
"udah mau seminggu..dana saya ,yg di kirim dari aplikasi worldapp ke aplikasi ini, GK masuk masuk..padahal alamatnya udah salin dengan benar..giliran di email jawabannya GK jelas..payah",1,2025-05-09 19:18:49,RICHARD WillY
mantap,5,2025-05-09 19:17:57,rizki sagara
"overall dh bagus, cuman ada bug yang sangat mengganggu, yaitu seperti saldonya tiba2 0 dan chart tidak ada. sumpah mengganggu kli",3,2025-05-09 19:17:06,Muhammad Yogi
aplikasinya kok errornya keluar keluar sendiri?,1,2025-05-09 19:16:55,Zayn_gaming Wiranata
"Ini kenapa indodax kok tumben eror ga jelas, mau masuk ke apk, sudah di dalam tiba tiba keluar lagi dan di suruh masukan pin, begitu saja terus masuk dan keluar sendiri dan di suruh masukan pin, tolong developer trouble ini sangat mengganggu aktivitas dalam trader pengguna, Segera di perbaiki secepat nya!!!",3,2025-05-09 19:16:55,M.andhika Manyu
indodax 👍👍👍👍,5,2025-05-09 19:16:53,popi yugonarko
sangat mudah untuk transaksinya cepat dan tepat waktu good jobb,5,2025-05-09 19:12:46,Jamal Fawzi
matappp,5,2025-05-09 19:12:32,Hidayat Dayex's
Indodax lagi error 🤔,3,2025-05-09 19:10:00,Krispy
ayolah perbaiki sistem nya masa gangguan mulu,2,2025-05-09 19:05:35,Ahmad Sahroji
tolong di perbaiki lagi kenapa sering kali error,2,2025-05-09 19:05:14,Andhika Arya
Sering bug dan aplikasi tidak bisa di buka tolong ini membuat aplikasi anda jadi tidak dipercaya,2,2025-05-09 19:00:46,Yova Kharisma A
"aneh apk ini bisa2 nya punya ku gak bisa masuk,cuman memuat doang tapi gak masuk2 apk di APUS login lagi tetep aja masih gak bisa masuk apalah ini apk nya,, plis lahh knpa GK bisa masuk ini woyy temen gue login bisa gue kagak anjir",1,2025-05-09 18:51:50,DIMAS C
"baru buka coba aplikasi ini bagus aja, market naik kok malah terjadi error uang invest ilang angkanya jadi 0 login ulang gak bisa masuk gimana nya keamanan dan menjaga hati peminat kalau errornya gak ngotak kayak gini 😡",2,2025-05-09 18:50:21,Doble 2 ACNT
Knp gak bisa di akses ini,1,2025-05-09 18:47:38,Samadi
Parah ini indodax fee doang mahal kualitas gak ada!,1,2025-05-09 18:46:15,Reza Viawan
kok saya buka aplikasi login gak masuk masuk dari jam 17:30 sampe sekarang,3,2025-05-09 18:44:24,Jr soedjipto 24
suka lag hargany lambat beda ma yang lain btc sdh 1.72 indodax masih 1.69,1,2025-05-09 18:44:00,rocky tang
punyaku GK bisa di buka ini gimna,5,2025-05-09 18:41:30,Rasman Kitty
permisi kenapa saya tidak dapat masuk ke akun saya ya?,1,2025-05-09 18:36:16,08.Muhamad Haris alaziz
"aplikasi sudah bagus,tapi tolong diperbaiki lagi soalnya saya ingin masuk kedalam akun saya ad kendala",3,2025-05-09 18:35:51,Jihan nanda
tidak bisa masuk ke aplikasi selalu memuat data,1,2025-05-09 18:34:41,Leo Apriyoga
hari ini tgl 9/5/25 jam 18:30 gk bs akses loading your data terus,2,2025-05-09 18:34:08,Daniel budiyanto
"gak bisa masuk sering eror terus, apk bejat, emang exchange lokal gak bisa diandalkan..",1,2025-05-09 18:33:47,Ghufron Nawawi
kenapa akun saya ngak bisa masuk cuman loading trs memuat data bgtu,3,2025-05-09 18:32:31,Syamsuddin Muis
saat market pump malah error gak ada bedanya ama bank jatim,1,2025-05-09 18:32:10,danis Naja
"akun saya tidak bisa login, dan email serta sandi yang saya masukan sudah benar tetapi tidak masuk di akun saya, tolong developer agar di perbaiki secepatnya",1,2025-05-09 18:32:00,christian yuspradictha
Tolong di bantu untuk apk indodax saya tidak bisa login,1,2025-05-09 18:30:51,Rina Arnia
knapa akun saya tidak bisa login,1,2025-05-09 18:28:24,Dens Ame
aplikasi indodax tiap kali ada kenaikan nggak bisa du buka tolong diperbaiki sistemnya,4,2025-05-09 18:28:04,online Aja
bagus,5,2025-05-09 18:27:17,Dikarpl Rpl
"Indodax makin sampah, tiap coin lagi naik aplikasi sering ga bs kebuka.gangguan terus",1,2025-05-09 18:23:54,ramdhani dwiatmojo
mantaplh indodax,5,2025-05-09 18:22:14,Agustina Wulandari
indodax tidak bisa di buka login lama sekali saat market lagi rame ramennya,2,2025-05-09 18:21:11,IBNU HAYTSAM AL'MAJRITI
"exchange lokal yang terpercaya tapi gak bisa di buka, saat pasar sedang tinggi kenapa ya?!",2,2025-05-09 18:20:42,Mukhlis Lahuddiin
ini knapa ya indodax saya gak bisa di buka,2,2025-05-09 18:20:35,Irwan Egianda
ok,5,2025-05-09 18:19:52,Dedi
"aplikasi eror, tidak bisa di buka",1,2025-05-09 18:19:25,Mikhael Lim
Lagi ngak bisa masuk nih,4,2025-05-09 18:16:42,Muhammad Mahfudz
transaksi ny malah ruwet,1,2025-05-09 18:14:32,Koko Pribadi
ngelag suka lama dalam masukkan saldo ke idr,3,2025-05-09 18:14:16,GIA NUGRAHA
masa update terus ngga bisa dibuka nih aplikasi.,2,2025-05-09 18:13:19,Joy Manik
kenapa saya ga bisa masuk aplikasi?,1,2025-05-09 18:13:08,M Khusnul Maroom
kokk ga bisa masukkk sih,5,2025-05-09 18:11:17,KHAFIDZ BAKHTIAR
"Mau login aja pun susah Gak tau tah apa yg bemasalah Jaringan oke, lancar, laju Tapi gak bisa login aneh",1,2025-05-09 18:10:26,Sha bina
"kok di gua sekarang indodax lemot banget, portofolio yg sebulanan aja ga keliatan",1,2025-05-09 18:09:22,Souki Mhd
"Aplikasi trading paling sering error, nge-bug dan kadang tidak bisa dibuka. Jadi was-was dengan uang twrlanjur di simpan disini.",1,2025-05-09 18:08:21,Heru Indrawan V.
"Terlalu banyak koin yang maintenance, dan kadang tidak bisa di buka apk nya",2,2025-05-09 18:07:42,Idul 01
g bisa login stuck di loading your data ....kenapa??mohon bantuanya,1,2025-05-09 18:04:46,heru alam
Crypto exchange andalan saya. . Fee transaksi masuk akal. Deposit / penarikan cepat sekali. Salam trading dari nick Hijau,5,2025-05-09 18:04:35,Konsetiti
ngeleg lama masuk ke aplikasinya,1,2025-05-09 18:04:28,Naufal Abi Karso Pratama
kenapa gak bisa loginn bos padahal sinyal bagus,2,2025-05-09 18:02:17,alif Kurnia
ini kenapa koo login lama amatt padahal sinyal lagi bagus,1,2025-05-09 18:01:46,Yusuf Muhammad Maulana
kenapa tiba tiba tidak bisa login,2,2025-05-09 17:59:03,zainal aqib
kenapa nih market lagi rame2 nya malah ga bisa masuk trus,1,2025-05-09 17:57:12,Deni Priono
error teruss,1,2025-05-09 17:56:40,Agus Bomber Tasik
mantap,5,2025-05-09 17:53:11,Muhammad Helmi
loading doang lama banget,1,2025-05-09 17:49:32,Richard VII
"woi indodax,kenapa susah login. gua mau WD. sempat turun nih harganya,rugi gua",2,2025-05-09 17:48:34,Fauwzhy Oppo
"terkadang disaat harga sedang naik aplikasi susah utk masuk dan lemot ,mohon diperbaiki lagi utk lebih baik",2,2025-05-09 17:45:55,Ilham Mujtahid
apk ga jelas tiba tiba ga bisa dibuka padahal jaringan lancar hadeh mending di apk pluang,1,2025-05-09 17:41:42,Rizki Aprillian
apaan kek gini ngestuck aja pas login masukin pin padahal jaringan lancar aja komen di sini pun lancar aja coba login di aplikasi lain lancar aja yang ini malah ngestuck mulu anehh...!!,1,2025-05-09 17:39:45,Jefri Ahmad
Tgl 9 /5/ 2025 market hijau malah bug parah,3,2025-05-09 17:38:58,Jonathan Willy
indodsk saya ga bisa di buka,4,2025-05-09 17:38:38,Elunk Gajah
btc pump auto lag apk anjg emang,1,2025-05-09 17:35:23,Surya Riandika
"Memuat data mulu, padahal jaringan kagak nge lag",1,2025-05-09 17:33:06,Kotaro Yujhincou
"halow indodax, hari ini tgl 9 mei 2025 aplikasi indodax saya dan beberapa kawan saya di lain kota seperti Lampung dan kalimantan tidak bisa masuk aplikasi, dan saya di jakarta, mulai dari pukul kurang lebih 15.00 sampai dengan sekarang pukul 17.26WIB HAL INI SANGAT MERUGIKAN SEKALI. MOHON PERHATIANNYA.",5,2025-05-09 17:29:12,reny oktaria
ok,5,2025-05-09 17:23:09,Hendra Kurniawan
klo harga lagi naik. aplikasinya koq leg2. error terus ga bs login,2,2025-05-09 17:21:34,yuli kusuma
indodax investasi Masa kini,5,2025-05-09 17:18:26,rahmat yani
"lelet banget,padahal udah beli coinnya malah gk muncul di portofolio",1,2025-05-09 17:13:03,video story
"Sering kejadian waktu aset lagi naik aplikasi maintenance/gangguan, beli aset ga nampak di profil.",1,2025-05-09 17:04:15,Arya Saty
good👍,4,2025-05-09 16:54:15,Anak Ragel
"lag mulu, setiap lagi profit selalu eror, pas udah turun koin nya baru hilang lag nya, buat rugi orang banyak aja, pilih exchange lain aja",1,2025-05-09 16:47:19,Fiki Saputra
"cara tarik koin yang sdah di hps bagaimana, ad 1 bulan tdk di pke ternyata bnyak koin yang di hps",1,2025-05-09 16:47:04,Christiadi P
sering ngelag kalau market lagi naik,1,2025-05-09 16:47:03,Ridwan Ramadan
kenapa indodax selalu maintenance/eror di saat coin naik admin?,5,2025-05-09 16:45:20,Jabar Logam
lagi gangguan kah?,3,2025-05-09 16:45:16,Ervian dwi sulistiyono
ada yang lebih sampah dari ini?,1,2025-05-09 16:42:40,Panji Tawang Lintang
"bintang 4 dulu sebenarnya enak semua tapi kasih bintang 4 dulu nanti kalo windraw nya udah bisa pake dana baru tambah in lagi, tolong ya pihak indodax tambahin windraw pake dana biar enak yang pelajar pelajar biar engga susah, apa sih saya kurang in lah bintang nya gampang ngebug padahal sinyal bagus tapi rilog"" trs masuk in pin gimana lah ini",3,2025-05-09 16:34:54,Galang Gilang
"exchange sampah transaksi sangat lambat, potongan gasfee gede, pelayanan sangat buruk, hati2 dengan exchange ini, benar2 bikin gila transaksi disini, token lagi naik ga bisa dijual buru2, ga bisa dibeli buru2, jangan mau main di sini",1,2025-05-09 16:34:24,Sahat Ronal Hutagaol Ronalt
bugnya tolong benerin dulu portofolio gua jadi 0,1,2025-05-09 16:33:32,Ambar Maulida
baguss,5,2025-05-09 16:31:51,Zhuqri Zhuqri linchandra
"Bagus sih, cuma portofolio saya nge bug dan pas jual aset GK masuk"" padahal pake metode market order",1,2025-05-09 16:29:22,Rizal Fingarland
eror parah,3,2025-05-09 16:27:12,Kusnandi Nandi
"APK gampang EROR heran saya, fee nya ngambil banyak tapi apknya macam sampah!",1,2025-05-09 16:25:13,Wangsakartika
kenapa kok pin nya keluar/muncul muncul terus,4,2025-05-09 16:24:55,Arif Solehudin
aplikasi lemot sering errorr indodax ga jelas oscar ngapain aja lemot banget aplikasi,1,2025-05-09 16:16:45,Ryo Fernando
ini kenapa indodax saya kok gampang eror udah di masukin pin baru masuk sebentar suruh masukin pin lagi dan lagi,2,2025-05-09 16:15:46,Adellia Azzahra
bug,1,2025-05-09 16:14:52,Evan No 11
eror macet truss parah duit gw hilang di indodax ..,1,2025-05-09 16:12:14,Pok Abeng
tolong di fixx bug nya!!!!! harga coin naik malah apk Ny keluar terus masukin PIN muluu!!!!!!!!!!!!!!!!,3,2025-05-09 16:03:21,Raihan Misbahur Rifa
mantap,5,2025-05-09 16:02:20,WAHYU MAULANA
mantap,5,2025-05-09 16:00:04,dianti putri
bug. saldo d prifil gk kliatan .. by apa gk kliatan.. perbaiki skrg,1,2025-05-09 15:58:13,Aim jr
lagi error ya min? ko aku susah login ya?,5,2025-05-09 15:57:59,Ahmad dzakwan al faini Safina annajah
mantab,5,2025-05-09 15:50:06,Epie Asih
updet det det det bikin bug ngebug error doang,1,2025-05-09 15:49:59,Iduy Nisa
kenapa indodax error terus.sungguh merugikan,3,2025-05-09 15:49:26,DR 3206
"kenapa indodax sering error ya, masa ga ada 2 detik disuruh masukin pin teruss, tolong indodax di cek dong",5,2025-05-09 15:40:07,Lisna Wahyuni
error mulu perbaiki napa sih,1,2025-05-09 15:39:20,Andreas Geo
"indodaxx kalau lagi harga tinggi suka maintance, suka eror aplikasinya",1,2025-05-09 15:37:32,nadia mardiana
"saya top up pake PT Fliptech di konter tapi GK masuk masuk ,top up lewat BCA ,Masa Di tolak ,Kecewa Berat Sama Indodax Bukti nya Udah Terpapang Jelas",1,2025-05-09 15:37:08,Edo
"ini bnyak error nya , pembelian/ penjualan klo bisa di perbaikin terlalu lama",4,2025-05-09 15:36:10,Ilham Firmansyah
"exchange sampah,,, asal moment pump ngelag,,, 👎👎👎👎👎",1,2025-05-09 15:30:12,Bilon Bilon
bug meresahkan,5,2025-05-09 15:25:28,Abbas Zain
"sebentar2 minta masukan pin,jadi nggak nyaman saat trading .market yang nomer 1 saja nggak tiap saat minta pin",1,2025-05-09 15:16:38,ES TONG TONG
apk gede gini hampir nge scam gw deposit make DANA blm masuk setelah ke costumer service di suruh isi data dan di data itu di suruh ngirim bukti transfer bank sedangkan di data gada e walet bank(dana) hanya ada bank lokal/luar tapi di fitur deposit ada ewalet DANA kan anjg,1,2025-05-09 15:10:45,Bantai Cuk
aplikasinya ga bisa masuk keluaran terus masih ada 2jt di dalem ga masuk masuk 🥲 ga bisa buka ke wallet coba ke customer service ga ada tanggepan 🙂‍↕️,1,2025-05-09 15:02:45,Syaifullah Ipul
ini knapa ngelag apknya tolong d perbaiki,3,2025-05-09 15:02:34,ARKA Chanell
tak kasih bintang 5 biar kelihatan tolong kalo sistem error Sinyal hilang ada pemberi tahuan dong biar gak tekor,5,2025-05-09 15:02:08,Rempon Chanell
luar biasa indodax semkin sakti,5,2025-05-09 15:01:07,Jibriel Footbal club
sering keluar sendiri aplikasi nya,1,2025-05-09 14:57:23,DANDI HENDRAWAN
"Kok, ngga sinkron ya aset sama chart yang sedang jalan, agak delay",5,2025-05-09 14:54:47,Vikri Mustafa
APK LEMOT BANGET !!! padahal exchange lain lancar jaya,1,2025-05-09 14:53:51,Muh.Kharis Akbar
oke,5,2025-05-09 14:51:47,affan imanullah
bug,1,2025-05-09 14:51:19,I Dika HD
"suka error ga bisa di buka loading mulu, perbaikiii lh",1,2025-05-09 14:50:04,Not Name
PARAH TAK KIRA SUDAH GAK EROR. TERNYATA MASIH SUKA EROR SAMPE SEKARANG. MERUGIKAN SAJA PAYAH 👎👎👎👎👎,1,2025-05-09 14:44:58,Freestyle Technology
Kenapa aplikasinya harus masukan password teruss eror,4,2025-05-09 14:44:09,SUARA PELAUT
ini indodax knp ya kluar masuk trus,5,2025-05-09 14:42:02,amin CBU
"experience saya menggunakan aplikasi ini mengalami ketidaknyamanan dikarenakan autentikasi fingerprint selalu muncul per 10 detik, bagaimana cara memperbaikinya? tolong tim it indodax memberikan solusinya",5,2025-05-09 14:37:33,Andersen Sitepu
"Saya sudah menggunakan berbagai platform investasi, tetapi platfrom ini sangat berbeda dari yang lain. Indodax 3.0 Sangat mudah di gunakan sehingga saya bisa dapat cuan lebih dari Platfrom ini. Dari segi Tampilan yang sangat modern,navigasi mudah dan fitur-fitur nya sangat lengkap. Indodax 3.0 ini banyak sejarah nya dari mulai launching ny sampe saat ini. Jadi apa lagi ditunggu, buruan download dan rasakan sensasinya! Username : AndestoSabelau #AsetMasaDepan",5,2025-05-09 14:36:40,Andesto Sabelau
kok hari ini 9 mei 2025 saya mau setor ke indodax dari mbanking tapi gabisa udh berkali kali saya coba?,1,2025-05-09 14:19:02,Aripin Tbh
"Napa keluar "" sendiri",1,2025-05-09 14:16:33,Riyan to alfatih
"aneh eror kek taik, bisa masukin pin teru terusan, mana server lag kali",1,2025-05-09 14:13:30,Razaki Ramadan
tidak nyaman lagi-lagi top up saya tidak masuk dalam 24 Jam,3,2025-05-09 13:57:13,roip agifari
"mantap, walau pernah uang tertahan di dalam karena beda nama KTP dan norek, tapi dapat di selesaikan dengan baik",5,2025-05-09 13:47:20,renii aloya
"tolong di perbaiki buq nya aku baru aja jual koin alpaca dan saldonya masuk setelah itu aku membeli coin xrp dengan 100% saldo aku udah berapa menit tapi tidak ada masuk coin yang aku beli atau tidak bertambah jika tidak di kembalikan dana saya, ini. termasuk penipuan",1,2025-05-09 13:39:16,Han Y Klo
"mimin indodax,kenapa saya harus login ulang ke akun saya padahal saya tidak mengubah atau meriset password saya dan akun saya sekarang terkunci, itu karena kendala apa minn?",5,2025-05-09 13:08:30,Rezky Ilham
di indodax bisa mulai investasi dari modal 10k dan itu sangat membantu mahasiswa dan pelajar yg ingin mengembangkan diri dalam hal berinvestasi serta fitur fitur indodax sangat sangat membantu. untuk memahami coin coin yg berpotensi #asetmasadepan username : purnamaade,5,2025-05-09 12:45:41,Jokowi dodi
kenapa gak bisa wd,4,2025-05-09 11:40:37,setitik cahaya
"harga btc ga sesuai, lebih lambat",1,2025-05-09 11:33:54,Fahmi Alda (Ami)
bagus cocok buat pemula,5,2025-05-09 09:36:29,Muhammad idrisah
sudah 3 hari apk indodax gak bisa kebuka... tanda² nih... tanda² uang ilang kalo kaya gini,1,2025-05-09 08:04:08,Rudi Hariyanto
"🔥Aplikasi INDODAX 3.0 di Android benar-benar mempermudah investasi kripto. Tampilan baru yang lebih modern, navigasi super cepat, dan fitur keamanan seperti biometric login & 2FA bikin transaksi makin nyaman. Notifikasi real-time dan chart lengkap sangat membantu ambil keputusan. Deposit, jual-beli, hingga cek portofolio bisa dilakukan dalam hitungan detik. Cocok untuk pemula maupun trader berpengalaman. Rating: 5/5– Praktis, aman, dan powerful! Username INDODAX: rosaiyadlakbar. #AsetMasaDepan",5,2025-05-09 06:19:31,Akbar Gendut12
aplikasi yang sangat mudah di pahami dan cocok untuk para pemuda untuk berinvestasi dan bisa buat menabung dan menambah kemasukan tidak seperti bank tiap bulan di potong pajak,5,2025-05-09 04:12:02,Laras
Rindu indodax lama candel nya bergerak,1,2025-05-09 01:18:19,Mahrul Putra Bengkulu
oke joss,4,2025-05-08 19:47:51,INITIATORT THEHUNTER
Aman guys,5,2025-05-08 19:46:10,Gilang BTC
"terbaru hari ini,login eror di semua akun saya ini gimana.di aplikasi dan di website. awalnya saya mau lihat straking tapi tidak muncul-terus hapus data dan login lagi gk bisa,trus di website gk bisa lagi,info lanjutan",4,2025-05-08 19:45:09,mas pull
anjai makin GG nih indodax penarikan cepat jaya,5,2025-05-08 18:34:37,Zahwan Azam
delisting bitcoin gold gak ada pemberitahuan uang saya hilang semua uang yang saya kumpulin sedikit demi sedikit selama 6 bulan dan hilang semua 😭😭 sekarang gak ada tabungan lagi,1,2025-05-08 17:53:23,Alvian Riantaka
"ko indodax sekarang mau deposit pake bank pemerintah BRI , MANDIRI jadi ribet ...tolong dong tampilkan VA bank bumn",2,2025-05-08 17:49:57,Nanang Bonang
tolong tambahkan metode penarikan menggunakan dana biar lebih sinpel🙏,4,2025-05-08 17:46:32,Wisnu Candra
"aplikasi scam, delisting aset gak ada pemberitahuannya langsung hilang begitu saja, parahhh",1,2025-05-08 17:26:30,Fega Meidiantanora
"ini kenapa koin yg udh di beli tiba² ilang,tolong penjelasannya,kalo gak balik rugi banyak bgt",2,2025-05-08 17:22:53,Cky Slurr
tolong bantu saya. saya buat akun baru waktu mau daftar pakai KTPm KTP telah di gunakan. perasaan saya belum prnah daftar sebelum nya,2,2025-05-08 17:09:47,Harris McKinney
woi udah beli coin btc tapi ga masuk gimana ini,1,2025-05-08 16:50:38,Bagas Adi N
luar biasa,3,2025-05-08 16:37:14,ADI PRASETIO
gimana nih coin nya ko bisa² hilang padahal saldo dah all in ke coin tersebut,3,2025-05-08 16:12:58,Triyana oky sumantri
ni indodax GK jelas udah 2 nama coin saya beli uang ny bisa hilang..kalau melakukan delisting tolong donk min dikasi pemberitahuan ny di Gmail biar tau..ini kan jdi rugi total..kalau kyak gini jangan kan untung modal aja gak kembali,1,2025-05-08 16:01:50,akli Chaw
ok,5,2025-05-08 15:48:30,Abd Rosyid
aplikasi apa ini masa iya transaksinya lalbat dan terakhir jual koin malah hilang riwayat penjualannya,1,2025-05-08 15:38:12,Langgar 402
"bang barusan COMBO di delisting, koin saya masih ada di COMBO tersebut apakah ada cara untuk memindahkan koin tersebut?",5,2025-05-08 15:29:29,Muh Izhat
"saldo idr hilang, chat online ga ada reaksi, disuruh nunggu 12 jam tetep aset ga kembali, ngapokin sumpah",1,2025-05-08 15:06:36,Asep Hasan
App tidak kompatibel dengan tab Xiaomi 6 S,1,2025-05-08 11:45:26,Galang Pratama
"INDODAX? Cuan Gak Pake Ribet Bro!"" Gua udah coba beberapa platform kripto, tapi Indodax beda vibes-nya. Dari tampilan simpel, fitur lengkap, sampe proses beli kripto yang tinggal klik klik langsung dapet. Cocok buat yang sibuk kerja kayak gua tapi tetep mau nabung BTC tiap bulan. Plus support-nya fast respon, verifikasi cepet, dan jelas ga tipu-tipu. Mau cuan santai? INDODAX jawabannya. Username Indodax: Steptimu #AsetMasaDepan",5,2025-05-08 11:45:04,Stephyn Stif
fleksibel dan mudah di pahami oleh pemula,5,2025-05-08 11:31:53,panji sidik
ini aplikasi kripto yg sangat mudah diproses bagi pemula👍👍 mudah aman cuan,5,2025-05-08 06:37:37,irwan lius
"app yang selama ini gua percaya, malah gak tau nya ngecewain gua, setiap gua mau masuk selalu tunggu beberapa saat lagi...GK jelas",2,2025-05-08 05:50:41,kaido Channel Tv
gak ramah buat pemula uang u bisa hilang klo gak sabaran sebagai pengguna gak ada komoensasi apa2 kehilangan bnyk. #username elondahlan #AsetMasaDepan,1,2025-05-08 01:09:53,Elon Dahlan
gimana cara dapat code referral nya,1,2025-05-07 23:26:08,Ali Wahyudin
"pada dasar aplikasinya mudah di gunakan dan di pahami hanya saja tidak bisa melihat hasil keuntungan atau kerugian transaksi yg terjadi dalam sehari,, dan akan lebih baik jika ada tampilan harga pembelian transaksi kripto di aset yg kita transaksi bisa terpantau langsung di menu utama pergerakan pasar kripto yg sedang berjalan,, jadi memudahkan pengawasan aset yg sudah dimiliki dan dpt memantau pergerakan pasar terbaru,, semoga bermanfaat zchen ttd",4,2025-05-07 23:23:19,Kenzy Chenzte
kenapa indodax sering mainten yang jadi susah,1,2025-05-07 23:19:56,Sandra Ly
Kenapa bisa saat beli bisa limit dan masih di posisi order terusss mohon di perbaiki,5,2025-05-07 21:35:49,Parlagutan Nst
bintang 5 buat kamu INDODAX..verry good. sejauh ini blm ada minusnya.... pertahankan jg sampe ikut ikutan trader sebelah... di bikin LAPAK JUDI... SALAM...sukses ...,5,2025-05-07 21:03:34,Iwan
sangat bagus,5,2025-05-07 20:41:59,Mufid 5758
"user indodax dari 2013 sampai sekarang #AsetMasaDepan @sandirk Pelajari semua nya,Nikmati alurnya, semoga berhasil, indodax terbaik",5,2025-05-07 20:30:38,sandi Rk
bagus sih,5,2025-05-07 20:19:40,Murtopo Tamba
"indodax aplikasi trading terbaik menurut saya pribadi ,yaa walaupun saya sering mengalami stop lose wkwk @Ananda383 #AsetMasaDepan",5,2025-05-07 18:33:32,Ananda
selalu gagal daftar di nama kontak darurat,1,2025-05-07 18:33:29,Haris
Aplikasinya mudah digunakan dan tampilannya user-friendly. Proses jual beli kripto cepat dan aman. Fitur notifikasinya sangat membantu untuk pantau harga. Mantap Indodax! 💪🔥 username : camaconn #AsetMasaDepan,5,2025-05-07 18:15:52,Candra Kusuma
Tampilan keren dan mudah di pahami bagi pemula,5,2025-05-07 17:55:32,Alan Prasetia
"Saya mulai pakai Indodax sejak Februari 2025 dan langsung puas! Aplikasinya simpel, transaksi cepat, pilihan koin lengkap, dan ada fitur staking yang menguntungkan. Keamanannya juga mantap, bikin tenang saat trading. Buat pemula sampai pro, Indodax benar-benar jadi platform kripto paling terpercaya di Indonesia!",5,2025-05-07 17:38:01,Raihan Pasha Ode
indodax mau setor lu sekarang ribet bgt dah.,2,2025-05-07 17:32:17,aldi al afgani
bagus dan enak,5,2025-05-07 17:29:21,Farken Official
Biaya layanannya deposit sama WD nya mahal,1,2025-05-07 17:19:01,Ilham Irawan
"aplikasi yah baik untuk pribadi saya,mau itu kita deposit atau tarik dana sangat cepat.says recommended sih indodax buat dipakai",5,2025-05-07 17:11:51,Alucard ya
bagus tapi sayang PI tidak masuk,5,2025-05-07 17:06:52,Asiregar Dua
sangat memuaskan,5,2025-05-07 16:54:18,Queenta Ananta R
